name,signing_date,signing_age,signing_status,contract_type,length,cap_hit_pct,player_id
ALEX.OVECHKIN,"(31, 8, 2005)",19,0,ENTRY-LEVEL CONTRACT,3,0.0252,0
ALEX.OVECHKIN,"(10, 1, 2008)",22,0,STANDARD CONTRACT,13,0.16820000000000002,0
HENRIK.ZETTERBERG,"(7, 9, 2005)",24,1,STANDARD CONTRACT,4,0.0679,1
HENRIK.ZETTERBERG,"(28, 1, 2009)",28,1,STANDARD CONTRACT,12,0.1073,1
JOHAN.FRANZEN,"(4, 8, 2005)",25,0,STANDARD CONTRACT,1,0.0154,2
JOHAN.FRANZEN,"(25, 8, 2006)",26,0,STANDARD CONTRACT,3,0.021400000000000002,2
JOHAN.FRANZEN,"(11, 4, 2009)",29,1,STANDARD CONTRACT,11,0.0697,2
MARIAN.HOSSA,"(23, 8, 2005)",26,1,STANDARD CONTRACT,3,0.15380000000000002,3
MARIAN.HOSSA,"(2, 7, 2008)",29,1,STANDARD CONTRACT,1,0.13140000000000002,3
MARIAN.HOSSA,"(1, 7, 2009)",30,1,STANDARD CONTRACT,12,0.0929,3
DUNCAN.KEITH,"(13, 7, 2006)",22,0,STANDARD CONTRACT,4,0.0335,4
DUNCAN.KEITH,"(3, 12, 2009)",26,0,STANDARD CONTRACT,13,0.0975,4
NICKLAS.BACKSTROM,"(16, 5, 2007)",19,0,ENTRY-LEVEL CONTRACT,3,0.019299999999999998,5
NICKLAS.BACKSTROM,"(17, 5, 2010)",22,0,STANDARD CONTRACT,10,0.1128,5
JEFF.CARTER,"(27, 7, 2005)",20,0,ENTRY-LEVEL CONTRACT,3,0.0242,6
JEFF.CARTER,"(27, 6, 2008)",23,0,STANDARD CONTRACT,3,0.0882,6
JEFF.CARTER,"(13, 11, 2010)",25,0,STANDARD CONTRACT,11,0.0888,6
JORDAN.STAAL,"(2, 10, 2006)",18,0,ENTRY-LEVEL CONTRACT,3,0.019299999999999998,7
JORDAN.STAAL,"(8, 1, 2009)",20,0,STANDARD CONTRACT,4,0.0705,7
JORDAN.STAAL,"(1, 7, 2012)",23,1,STANDARD CONTRACT,10,0.1,7
SIDNEY.CROSBY,"(9, 9, 2005)",18,0,ENTRY-LEVEL CONTRACT,3,0.0218,8
SIDNEY.CROSBY,"(7, 7, 2007)",19,0,STANDARD CONTRACT,5,0.17300000000000001,8
SIDNEY.CROSBY,"(1, 7, 2012)",24,1,STANDARD CONTRACT,12,0.145,8
ZACH.PARISE,"(29, 3, 2004)",19,0,ENTRY-LEVEL CONTRACT,3,0.012,9
ZACH.PARISE,"(1, 8, 2007)",23,0,STANDARD CONTRACT,4,0.0621,9
ZACH.PARISE,"(29, 7, 2011)",27,0,STANDARD CONTRACT,1,0.0933,9
ZACH.PARISE,"(4, 7, 2012)",27,1,STANDARD CONTRACT,13,0.12560000000000002,9
RYAN.SUTER,"(8, 9, 2004)",19,0,ENTRY-LEVEL CONTRACT,3,0.020099999999999996,10
RYAN.SUTER,"(16, 6, 2008)",23,0,STANDARD CONTRACT,4,0.0696,10
RYAN.SUTER,"(4, 7, 2012)",27,1,STANDARD CONTRACT,13,0.12560000000000002,10
SHEA.WEBER,"(14, 9, 2004)",19,0,ENTRY-LEVEL CONTRACT,3,0.015700000000000002,11
SHEA.WEBER,"(23, 6, 2008)",22,0,STANDARD CONTRACT,3,0.0794,11
SHEA.WEBER,"(4, 8, 2011)",25,0,STANDARD CONTRACT,1,0.1166,11
SHEA.WEBER,"(24, 7, 2012)",26,0,STANDARD CONTRACT,14,0.131,11
TAYLOR.HALL,"(5, 7, 2010)",18,0,ENTRY-LEVEL CONTRACT,3,0.0152,12
TAYLOR.HALL,"(22, 8, 2012)",20,0,STANDARD CONTRACT,7,0.1,12
TRAVIS.ZAJAC,"(13, 4, 2006)",20,0,ENTRY-LEVEL CONTRACT,3,0.022400000000000003,13
TRAVIS.ZAJAC,"(22, 7, 2009)",24,0,STANDARD CONTRACT,4,0.0684,13
TRAVIS.ZAJAC,"(16, 1, 2013)",27,1,STANDARD CONTRACT,8,0.0894,13
RYAN.GETZLAF,"(15, 9, 2004)",19,0,ENTRY-LEVEL CONTRACT,3,0.019,14
RYAN.GETZLAF,"(20, 11, 2007)",22,0,STANDARD CONTRACT,5,0.1059,14
RYAN.GETZLAF,"(8, 3, 2013)",27,1,STANDARD CONTRACT,8,0.1283,14
ROMAN.JOSI,"(27, 5, 2010)",19,0,ENTRY-LEVEL CONTRACT,3,0.0154,15
ROMAN.JOSI,"(10, 6, 2013)",23,0,STANDARD CONTRACT,7,0.0622,15
EVGENI.MALKIN,"(20, 6, 2006)",19,0,ENTRY-LEVEL CONTRACT,3,0.0252,16
EVGENI.MALKIN,"(2, 7, 2008)",21,0,STANDARD CONTRACT,5,0.1534,16
EVGENI.MALKIN,"(1, 7, 2013)",26,1,STANDARD CONTRACT,8,0.1477,16
KRIS.LETANG,"(2, 10, 2006)",19,0,ENTRY-LEVEL CONTRACT,3,0.014499999999999999,17
KRIS.LETANG,"(30, 3, 2010)",22,0,STANDARD CONTRACT,4,0.0616,17
KRIS.LETANG,"(1, 7, 2013)",26,1,STANDARD CONTRACT,8,0.1128,17
CLAUDE.GIROUX,"(23, 7, 2007)",19,0,ENTRY-LEVEL CONTRACT,3,0.0169,18
CLAUDE.GIROUX,"(8, 11, 2010)",22,0,STANDARD CONTRACT,3,0.06309999999999999,18
CLAUDE.GIROUX,"(4, 7, 2013)",25,0,STANDARD CONTRACT,8,0.12869999999999998,18
DAVID.CLARKSON,"(12, 8, 2005)",21,0,ENTRY-LEVEL CONTRACT,3,0.0138,19
DAVID.CLARKSON,"(1, 7, 2008)",24,0,STANDARD CONTRACT,2,0.0148,19
DAVID.CLARKSON,"(1, 7, 2010)",26,0,STANDARD CONTRACT,3,0.0449,19
DAVID.CLARKSON,"(5, 7, 2013)",29,1,STANDARD CONTRACT,7,0.0816,19
NATHAN.HORTON,"(11, 7, 2006)",21,0,STANDARD CONTRACT,1,0.025,20
NATHAN.HORTON,"(21, 6, 2007)",22,0,STANDARD CONTRACT,6,0.0795,20
NATHAN.HORTON,"(5, 7, 2013)",28,1,STANDARD CONTRACT,7,0.0824,20
TRAVIS.HAMONIC,"(27, 5, 2010)",19,0,ENTRY-LEVEL CONTRACT,3,0.0154,21
TRAVIS.HAMONIC,"(5, 7, 2013)",22,0,STANDARD CONTRACT,7,0.06,21
PATRICE.BERGERON,"(6, 10, 2003)",18,0,ENTRY-LEVEL CONTRACT,3,0.0132,22
PATRICE.BERGERON,"(22, 8, 2006)",21,0,STANDARD CONTRACT,5,0.10800000000000001,22
PATRICE.BERGERON,"(8, 10, 2010)",25,1,STANDARD CONTRACT,3,0.0842,22
PATRICE.BERGERON,"(12, 7, 2013)",27,1,STANDARD CONTRACT,8,0.1069,22
DUSTIN.BROWN,"(17, 9, 2006)",21,1,STANDARD CONTRACT,2,0.026699999999999998,23
DUSTIN.BROWN,"(26, 10, 2007)",22,0,STANDARD CONTRACT,6,0.06309999999999999,23
DUSTIN.BROWN,"(18, 7, 2013)",28,1,STANDARD CONTRACT,8,0.09140000000000001,23
ZACH.BOGOSIAN,"(4, 9, 2008)",18,0,ENTRY-LEVEL CONTRACT,3,0.0154,24
ZACH.BOGOSIAN,"(14, 9, 2011)",21,0,STANDARD CONTRACT,2,0.038900000000000004,24
ZACH.BOGOSIAN,"(29, 7, 2013)",23,0,STANDARD CONTRACT,7,0.08,24
GABRIEL.LANDESKOG,"(28, 7, 2011)",18,0,ENTRY-LEVEL CONTRACT,3,0.0144,25
