name,signing_date,signing_age,signing_status,contract_type,length,cap_hit_pct,player_id
ALEX.OVECHKIN,"(10, 1, 2008)",22,0,STANDARD CONTRACT,13,0.16820000000000002,0
HENRIK.ZETTERBERG,"(7, 9, 2005)",24,1,STANDARD CONTRACT,4,0.0679,1
HENRIK.ZETTERBERG,"(28, 1, 2009)",28,1,STANDARD CONTRACT,12,0.1073,1
JOHAN.FRANZEN,"(4, 8, 2005)",25,0,STANDARD CONTRACT,1,0.0154,2
JOHAN.FRANZEN,"(25, 8, 2006)",26,0,STANDARD CONTRACT,3,0.0214,2
JOHAN.FRANZEN,"(11, 4, 2009)",29,1,STANDARD CONTRACT,11,0.0697,2
MARIAN.HOSSA,"(23, 8, 2005)",26,1,STANDARD CONTRACT,3,0.15380000000000002,3
MARIAN.HOSSA,"(2, 7, 2008)",29,1,STANDARD CONTRACT,1,0.13140000000000002,3
MARIAN.HOSSA,"(1, 7, 2009)",30,1,STANDARD CONTRACT,12,0.0929,3
DUNCAN.KEITH,"(13, 7, 2006)",22,0,STANDARD CONTRACT,4,0.0335,4
DUNCAN.KEITH,"(3, 12, 2009)",26,0,STANDARD CONTRACT,13,0.0975,4
NICKLAS.BACKSTROM,"(17, 5, 2010)",22,0,STANDARD CONTRACT,10,0.1128,5
JEFF.CARTER,"(27, 6, 2008)",23,0,STANDARD CONTRACT,3,0.0882,6
JEFF.CARTER,"(13, 11, 2010)",25,0,STANDARD CONTRACT,11,0.0888,6
JORDAN.STAAL,"(8, 1, 2009)",20,0,STANDARD CONTRACT,4,0.0705,7
JORDAN.STAAL,"(1, 7, 2012)",23,1,STANDARD CONTRACT,10,0.1,7
SIDNEY.CROSBY,"(7, 7, 2007)",19,0,STANDARD CONTRACT,5,0.173,8
SIDNEY.CROSBY,"(1, 7, 2012)",24,1,STANDARD CONTRACT,12,0.145,8
ZACH.PARISE,"(1, 8, 2007)",23,0,STANDARD CONTRACT,4,0.0621,9
ZACH.PARISE,"(29, 7, 2011)",27,0,STANDARD CONTRACT,1,0.0933,9
ZACH.PARISE,"(4, 7, 2012)",27,1,STANDARD CONTRACT,13,0.12560000000000002,9
RYAN.SUTER,"(16, 6, 2008)",23,0,STANDARD CONTRACT,4,0.0696,10
RYAN.SUTER,"(4, 7, 2012)",27,1,STANDARD CONTRACT,13,0.12560000000000002,10
SHEA.WEBER,"(23, 6, 2008)",22,0,STANDARD CONTRACT,3,0.0794,11
SHEA.WEBER,"(4, 8, 2011)",25,0,STANDARD CONTRACT,1,0.1166,11
SHEA.WEBER,"(24, 7, 2012)",26,0,STANDARD CONTRACT,14,0.131,11
TAYLOR.HALL,"(22, 8, 2012)",20,0,STANDARD CONTRACT,7,0.1,12
TRAVIS.ZAJAC,"(22, 7, 2009)",24,0,STANDARD CONTRACT,4,0.0684,13
TRAVIS.ZAJAC,"(16, 1, 2013)",27,1,STANDARD CONTRACT,8,0.0894,13
RYAN.GETZLAF,"(20, 11, 2007)",22,0,STANDARD CONTRACT,5,0.1059,14
RYAN.GETZLAF,"(8, 3, 2013)",27,1,STANDARD CONTRACT,8,0.1283,14
ROMAN.JOSI,"(10, 6, 2013)",23,0,STANDARD CONTRACT,7,0.0622,15
EVGENI.MALKIN,"(2, 7, 2008)",21,0,STANDARD CONTRACT,5,0.1534,16
EVGENI.MALKIN,"(1, 7, 2013)",26,1,STANDARD CONTRACT,8,0.1477,16
KRIS.LETANG,"(30, 3, 2010)",22,0,STANDARD CONTRACT,4,0.0616,17
