player,team,date_of_birth,age,handed,center,left_wing,right_wing,defense,player_id
ALEX.OVECHKIN,WSH,"(17, 9, 1985)",33.0,1,0,1,1,0,0
HENRIK.ZETTERBERG,DET,"(9, 10, 1980)",38.0,0,1,0,0,0,1
JOHAN.FRANZEN,DET,"(23, 12, 1979)",39.0,0,0,1,1,0,2
MARIAN.HOSSA,ARI,"(12, 1, 1979)",40.0,0,0,0,1,0,3
DUNCAN.KEITH,CHI,"(16, 7, 1983)",35.0,0,0,0,0,1,4
NICKLAS.BACKSTROM,WSH,"(23, 11, 1987)",31.0,0,1,0,0,0,5
JEFF.CARTER,LAK,"(1, 1, 1985)",34.0,1,1,0,1,0,6
JORDAN.STAAL,CAR,"(10, 9, 1988)",30.0,0,1,1,0,0,7
SIDNEY.CROSBY,PIT,"(7, 8, 1987)",31.0,0,1,0,0,0,8
ZACH.PARISE,MIN,"(28, 7, 1984)",34.0,0,0,1,0,0,9
RYAN.SUTER,MIN,"(21, 1, 1985)",34.0,0,0,0,0,1,10
SHEA.WEBER,MTL,"(14, 8, 1985)",33.0,1,0,0,0,1,11
TAYLOR.HALL,NJD,"(14, 11, 1991)",27.0,0,1,1,0,0,12
TRAVIS.ZAJAC,NJD,"(13, 5, 1985)",34.0,1,1,0,0,0,13
RYAN.GETZLAF,ANA,"(10, 5, 1985)",34.0,1,1,0,0,0,14
ROMAN.JOSI,NSH,"(1, 6, 1990)",29.0,0,0,0,0,1,15
EVGENI.MALKIN,PIT,"(31, 7, 1986)",32.0,0,1,0,0,0,16
KRIS.LETANG,PIT,"(24, 4, 1987)",32.0,1,0,0,0,1,17
CLAUDE.GIROUX,PHI,"(12, 1, 1988)",31.0,1,1,1,1,0,18
DAVID.CLARKSON,VGK,"(31, 3, 1984)",35.0,1,0,0,1,0,19
NATHAN.HORTON,TOR,"(29, 5, 1985)",34.0,1,0,0,1,0,20
TRAVIS.HAMONIC,CGY,"(16, 8, 1990)",28.0,1,0,0,0,1,21
PATRICE.BERGERON,BOS,"(24, 7, 1985)",33.0,1,1,0,0,0,22
DUSTIN.BROWN,LAK,"(4, 11, 1984)",34.0,1,0,1,1,0,23
ZACH.BOGOSIAN,BUF,"(15, 7, 1990)",28.0,1,0,0,0,1,24
GABRIEL.LANDESKOG,COL,"(23, 11, 1992)",26.0,0,0,1,0,0,25
ALEX.PIETRANGELO,STL,"(18, 1, 1990)",29.0,1,0,0,0,1,26
RYAN.NUGENT-HOPKINS,EDM,"(12, 4, 1993)",26.0,0,1,1,0,0,27
PHIL.KESSEL,PIT,"(2, 10, 1987)",31.0,1,0,0,1,0,28
JONATHAN.ERICSSON,DET,"(2, 3, 1984)",35.0,0,0,0,0,1,29
JUSTIN.FAULK,CAR,"(20, 3, 1992)",27.0,1,0,0,0,1,30
RYAN.CALLAHAN,TBL,"(21, 3, 1985)",34.0,1,0,0,1,0,31
MARIAN.GABORIK,OTT,"(14, 2, 1982)",37.0,0,0,0,1,0,32
MATT.NISKANEN,PHI,"(6, 12, 1986)",32.0,1,0,0,0,1,33
PATRICK.KANE,CHI,"(19, 11, 1988)",30.0,0,1,0,1,0,34
JONATHAN.TOEWS,CHI,"(29, 4, 1988)",31.0,0,1,0,0,0,35
BRANDON.DUBINSKY,CBJ,"(29, 4, 1986)",33.0,0,1,1,0,0,36
ANDY.GREENE,NJD,"(30, 10, 1982)",36.0,0,0,0,0,1,37
P.K..SUBBAN,NJD,"(13, 5, 1989)",30.0,1,0,0,0,1,38
CLARKE.MACARTHUR,OTT,"(6, 4, 1985)",34.0,0,0,1,0,0,39
DAVID.KREJCI,BOS,"(28, 4, 1986)",33.0,1,1,0,0,0,40
JUSTIN.BRAUN,PHI,"(10, 2, 1987)",32.0,1,0,0,0,1,41
BOBBY.RYAN,OTT,"(17, 3, 1987)",32.0,1,0,1,1,0,42
JONAS.BRODIN,MIN,"(12, 7, 1993)",25.0,0,0,0,0,1,43
JAKE.MUZZIN,TOR,"(21, 2, 1989)",30.0,0,0,0,0,1,44
TJ.BRODIE,CGY,"(7, 6, 1990)",29.0,0,0,0,0,1,45
CHARLIE.COYLE,BOS,"(2, 3, 1992)",27.0,1,1,0,1,0,46
MARCO.SCANDELLA,BUF,"(23, 2, 1990)",29.0,0,0,0,0,1,47
BRENDAN.GALLAGHER,MTL,"(6, 5, 1992)",27.0,1,0,0,1,0,48
ALEC.MARTINEZ,LAK,"(26, 7, 1987)",31.0,0,0,0,0,1,49
NICK.FOLIGNO,CBJ,"(31, 10, 1987)",31.0,0,1,1,1,0,50
NICK.BJUGSTAD,PIT,"(17, 7, 1992)",26.0,1,1,0,1,0,51
MARC.STAAL,NYR,"(13, 1, 1987)",32.0,0,0,0,0,1,52
NICK.LEDDY,NYI,"(20, 3, 1991)",28.0,0,0,0,0,1,53
KYLE.CLIFFORD,LAK,"(13, 1, 1991)",28.0,0,0,1,0,0,54
JOHNNY.BOYCHUK,NYI,"(19, 1, 1984)",35.0,1,0,0,0,1,55
CHRISTOPHER.TANEV,VAN,"(20, 12, 1989)",29.0,1,0,0,0,1,56
JOHN.KLINGBERG,DAL,"(14, 8, 1992)",26.0,1,0,0,0,1,57
JEFF.PETRY,MTL,"(9, 12, 1987)",31.0,1,0,0,0,1,58
CARL.SODERBERG,COL,"(12, 10, 1985)",33.0,0,1,1,0,0,59
BRENDEN.DILLON,SJS,"(13, 11, 1990)",28.0,0,0,0,0,1,60
DOUGIE.HAMILTON,CAR,"(17, 6, 1993)",26.0,1,0,0,0,1,61
MATT.BELESKEY,NYR,"(7, 6, 1988)",31.0,0,0,1,0,0,62
MICHAEL.FROLIK,CGY,"(17, 2, 1988)",31.0,0,0,1,1,0,63
ARTEM.ANISIMOV,CHI,"(24, 5, 1988)",31.0,0,1,1,0,0,64
ANDREJ.SEKERA,EDM,"(8, 6, 1986)",33.0,0,0,0,0,1,65
BRANDON.SAAD,CHI,"(27, 10, 1992)",26.0,0,0,1,1,0,67
RYAN.O'REILLY,STL,"(7, 2, 1991)",28.0,0,1,0,0,0,68
VLADIMIR.TARASENKO,STL,"(13, 12, 1991)",27.0,0,0,0,1,0,71
RYAN.KESLER,ANA,"(31, 8, 1984)",34.0,1,1,0,1,0,77
CRAIG.SMITH,NSH,"(5, 9, 1989)",29.0,1,1,0,1,0,78
ADAM.LARSSON,EDM,"(12, 11, 1992)",26.0,1,0,0,0,1,80
DEREK.STEPAN,ARI,"(18, 6, 1990)",29.0,1,1,0,0,0,82
SEAN.COUTURIER,PHI,"(7, 12, 1992)",26.0,0,1,0,0,0,83
JAKUB.VORACEK,PHI,"(15, 8, 1989)",29.0,0,0,0,1,0,85
BRANDON.SUTTER,VAN,"(14, 2, 1989)",30.0,1,1,0,0,0,86
MARK.GIORDANO,CGY,"(3, 10, 1983)",35.0,0,0,0,0,1,89
CODY.EAKIN,VGK,"(24, 5, 1991)",28.0,0,1,0,0,0,90
DAVID.SAVARD,CBJ,"(22, 10, 1990)",28.0,1,0,0,0,1,92
OSCAR.KLEFBOM,EDM,"(20, 7, 1993)",25.0,0,0,0,0,1,96
ERIK.JOHNSON,COL,"(21, 3, 1988)",31.0,1,0,0,0,1,98
BRENT.SEABROOK,CHI,"(20, 4, 1985)",34.0,1,0,0,0,1,100
MATTIAS.EKHOLM,NSH,"(24, 5, 1990)",29.0,0,0,0,0,1,103
JUSTIN.ABDELKADER,DET,"(25, 2, 1987)",32.0,0,0,1,1,0,108
JARED.SPURGEON,MIN,"(29, 11, 1989)",29.0,1,0,0,0,1,114
ANZE.KOPITAR,LAK,"(24, 8, 1987)",31.0,0,1,0,0,0,116
ALEKSANDER.BARKOV,FLA,"(2, 9, 1995)",23.0,0,1,0,0,0,117
DUSTIN.BYFUGLIEN,WPG,"(27, 3, 1985)",34.0,1,0,0,0,1,118
OLLI.MAATTA,CHI,"(22, 8, 1994)",24.0,0,0,0,0,1,119
MORGAN.RIELLY,TOR,"(9, 3, 1994)",25.0,0,0,0,0,1,125
NAZEM.KADRI,TOR,"(6, 10, 1990)",28.0,0,1,0,0,0,126
KEVAN.MILLER,BOS,"(15, 11, 1987)",31.0,1,0,0,0,1,132
CASEY.CIZIKAS,NYI,"(27, 2, 1991)",28.0,0,1,0,0,0,133
SAMI.VATANEN,NJD,"(3, 6, 1991)",28.0,1,0,0,0,1,135
ALEX.GOLIGOSKI,ARI,"(30, 7, 1985)",33.0,0,0,0,0,1,136
RADKO.GUDAS,WSH,"(5, 6, 1990)",29.0,1,0,0,0,1,137
KEITH.YANDLE,FLA,"(9, 9, 1986)",32.0,0,0,0,0,1,138
TREVOR.LEWIS,LAK,"(8, 1, 1987)",32.0,1,1,1,1,0,139
FILIP.FORSBERG,NSH,"(13, 8, 1994)",24.0,1,0,1,0,0,140
ANDREW.SHAW,MTL,"(20, 7, 1991)",27.0,1,1,0,1,0,141
SETH.JONES,CBJ,"(3, 10, 1994)",24.0,1,0,0,0,1,143
STEVEN.STAMKOS,TBL,"(7, 2, 1990)",29.0,1,1,0,0,0,144
TOREY.KRUG,BOS,"(12, 4, 1991)",28.0,0,0,0,0,1,145
DAVID.SCHLEMKO,PHI,"(7, 5, 1987)",32.0,0,0,0,0,1,147
DALE.WEISE,MTL,"(5, 8, 1988)",30.0,1,0,1,1,0,148
MATT.MARTIN,NYI,"(8, 5, 1989)",30.0,0,0,1,1,0,150
MIKKEL.BOEDKER,OTT,"(16, 12, 1989)",29.0,0,0,1,1,0,151
DARREN.HELM,DET,"(21, 1, 1987)",32.0,0,1,1,1,0,153
DAVID.BACKES,BOS,"(1, 5, 1984)",35.0,1,1,0,1,0,154
FRANS.NIELSEN,DET,"(24, 4, 1984)",35.0,0,1,0,0,0,155
LOUI.ERIKSSON,VAN,"(17, 7, 1985)",33.0,0,0,1,1,0,156
ANDREW.LADD,NYI,"(12, 12, 1985)",33.0,0,0,1,0,0,157
MILAN.LUCIC,EDM,"(7, 6, 1988)",31.0,0,0,1,0,0,158
KYLE.OKPOSO,BUF,"(16, 4, 1988)",31.0,1,0,0,1,0,159
VICTOR.HEDMAN,TBL,"(18, 12, 1990)",28.0,0,0,0,0,1,160
AARON.EKBLAD,FLA,"(7, 2, 1996)",23.0,1,0,0,0,1,161
JASON.DEMERS,ARI,"(9, 6, 1988)",31.0,1,0,0,0,1,163
VINCENT.TROCHECK,FLA,"(11, 7, 1993)",25.0,1,1,0,1,0,164
REILLY.SMITH,VGK,"(1, 4, 1991)",28.0,0,0,1,1,0,165
KYLE.PALMIERI,NJD,"(1, 2, 1991)",28.0,1,0,1,1,0,166
MATHIEU.PERREAULT,WPG,"(5, 1, 1988)",31.0,0,1,1,0,0,167
NATHAN.MACKINNON,COL,"(1, 9, 1995)",23.0,1,1,0,1,0,168
MARK.SCHEIFELE,WPG,"(15, 3, 1993)",26.0,1,1,0,0,0,169
VICTOR.RASK,MIN,"(1, 3, 1993)",26.0,0,1,0,0,0,172
LUKE.GLENDENING,DET,"(28, 4, 1989)",30.0,1,1,1,1,0,173
JADEN.SCHWARTZ,STL,"(25, 6, 1992)",27.0,0,0,1,0,0,177
JAMIE.BENN,DAL,"(18, 7, 1989)",29.0,0,0,1,0,0,179
ALEX.KILLORN,TBL,"(14, 9, 1989)",29.0,0,0,1,0,0,180
CHRIS.KREIDER,NYR,"(30, 4, 1991)",28.0,0,0,1,0,0,182
BRAYDEN.SCHENN,STL,"(22, 8, 1991)",27.0,0,1,1,0,0,183
DANNY.DEKEYSER,DET,"(7, 3, 1990)",29.0,0,0,0,0,1,184
MIKE.HOFFMAN,FLA,"(24, 11, 1989)",29.0,0,0,1,1,0,185
CALLE.JARNKROK,NSH,"(25, 9, 1991)",27.0,1,1,1,0,0,187
CONNOR.MURPHY,CHI,"(26, 3, 1993)",26.0,1,0,0,0,1,188
TYSON.BARRIE,COL,"(26, 7, 1991)",27.0,1,0,0,0,1,189
SEAN.MONAHAN,CGY,"(12, 10, 1994)",24.0,0,1,0,0,0,193
JONATHAN.HUBERDEAU,FLA,"(4, 6, 1993)",26.0,0,1,1,0,0,196
ALEXANDER.STEEN,STL,"(1, 3, 1984)",35.0,0,1,1,1,0,200
BRAD.MARCHAND,BOS,"(11, 5, 1988)",31.0,0,0,1,0,0,202
JOHNNY.GAUDREAU,CGY,"(13, 8, 1993)",25.0,0,0,1,0,0,211
RASMUS.RISTOLAINEN,BUF,"(27, 10, 1994)",24.0,1,0,0,0,1,212
RICKARD.RAKELL,ANA,"(5, 5, 1993)",26.0,1,1,1,1,0,215
